"","Genre","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"1","Action",0.528100120627262,0.264725572979493,0.15832328106152,0.0482358262967431,0.0565078407720145
"2","Adventure",0.185878693623639,0.0822706065318818,0.0498678071539658,0.0404898911353033,0.0130715396578538
"3","Fighting",0.529375,0.263667452830189,0.119481132075472,0.103007075471698,0.0432547169811321
"4","Misc",0.465761932144911,0.23590569292697,0.124197814836113,0.0619666474985624,0.0433122484186314
"5","Platform",0.93834085778781,0.504571106094808,0.227573363431151,0.147595936794582,0.0582279909706546
"6","Puzzle",0.420876288659794,0.212680412371134,0.0872508591065292,0.0984707903780069,0.0215635738831615
"7","Racing",0.586100880704564,0.287766212970376,0.190864691753403,0.0453883106485188,0.0618654923939151
"8","Role-Playing",0.62323252688172,0.21994623655914,0.126384408602151,0.23676747311828,0.0400604838709677
"9","Shooter",0.791885496183206,0.444732824427481,0.239137404580153,0.0292213740458015,0.0783893129770992
"10","Simulation",0.452364475201845,0.211430219146482,0.130772779700115,0.0734717416378316,0.0363552479815456
"11","Sports",0.56731884057971,0.291283034953112,0.160635123614663,0.0577024722932651,0.0575319693094629
"12","Strategy",0.257151248164464,0.100881057268722,0.0665785609397944,0.0726284875183554,0.0166813509544787
