"","Platform","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"1","2600",0.729924812030075,0.681203007518797,0.0411278195488722,0,0.0068421052631579
"2","3DO",0.0333333333333333,0,0,0.0333333333333333,0
"3","3DS",0.486168958742633,0.154950884086444,0.114970530451866,0.191257367387033,0.0248133595284872
"4","DC",0.307115384615385,0.104423076923077,0.0325,0.164615384615385,0.00519230769230769
"5","DS",0.380254276467869,0.180633379565418,0.0899907535829866,0.081169671752196,0.0279842810910772
"6","GB",2.60663265306122,1.1665306122449,0.487959183673469,0.868571428571429,0.0836734693877551
"7","GBA",0.387469586374696,0.228150851581509,0.0915450121654501,0.0575790754257908,0.00940389294403893
"8","GC",0.358561151079137,0.240035971223022,0.0696223021582734,0.0388129496402878,0.00931654676258993
"9","GEN",1.05037037037037,0.713703703703704,0.204444444444444,0.0988888888888889,0.032962962962963
"10","GG",0.04,0,0,0.04,0
"11","N64",0.686144200626959,0.435799373040752,0.12871473354232,0.107272727272727,0.013730407523511
"12","NES",2.5619387755102,1.28510204081633,0.215816326530612,1.00663265306122,0.0541836734693878
"13","NG",0.12,0,0,0.12,0
"14","PC",0.269604166666667,0.0971666666666667,0.1455,0.000177083333333333,0.0258958333333333
"15","PCFX",0.03,0,0,0.03,0
"16","PS",0.610919732441472,0.281362876254181,0.178595317725753,0.11690635451505,0.0342056856187291
"17","PS2",0.581045812124017,0.270171217029153,0.157006015733457,0.0644146228597871,0.0895141138361869
"18","PS3",0.720722347629797,0.29515425131678,0.2586230248307,0.0601881113619263,0.106794582392777
"19","PS4",0.827678571428571,0.288095238095238,0.368154761904762,0.0425595238095238,0.129047619047619
"20","PSP",0.244253915910965,0.0898516075845012,0.0562654575432811,0.0633058532563891,0.0347815333882935
"21","PSV",0.149951573849879,0.039225181598063,0.0395399515738499,0.0507506053268765,0.0204600484261501
"22","SAT",0.194161849710983,0.00416184971098266,0.00312138728323699,0.186473988439306,0.000404624277456647
"23","SCD",0.311666666666667,0.166666666666667,0.06,0.075,0.00833333333333333
"24","SNES",0.837029288702929,0.256192468619247,0.0796652719665272,0.48765690376569,0.0134728033472803
"25","TG16",0.08,0,0,0.08,0
"26","Wii",0.699403773584906,0.383177358490566,0.202550943396226,0.0523396226415094,0.0608377358490566
"27","WiiU",0.572447552447552,0.267972027972028,0.169440559440559,0.0894405594405594,0.0451048951048951
"28","WS",0.236666666666667,0,0,0.236666666666667,0
"29","X360",0.774671936758893,0.475138339920949,0.221802371541502,0.00982608695652174,0.0676205533596838
"30","XB",0.313422330097087,0.226565533980583,0.0739684466019418,0.0016747572815534,0.0105825242718447
"31","XOne",0.662253521126761,0.39056338028169,0.214319248826291,0.0015962441314554,0.055962441314554
